name,organisation,country,url,url_api,description,location,has_issue,issue_type,code_en
AAbrooks WAT,AAbrooks WAT,United States,http://aabrooks2.dcdev.opendata.arcgis.com,,Arcgis OpenData Portal,"38.9973933555, -77.4015540771",TRUE,,United States - AAbrooks WAT
Aachen Open Data,Germany,Germany,http://offenedaten.aachen.de/,,Aachen Open Data,"50.7753, 6.0839",,,Germany - Aachen Open Data
Aalborg OD,Aalborg OD,Denmark,http://aalborg.gis2dk.opendata.arcgis.com,,Arcgis OpenData Portal,"56.9896596547, 9.95711272331",,,Denmark - Aalborg OD
Aarhus,Aarhus,Denmark,http://www.odaa.dk/,,,"56.1781797, 10.1117591",,,Denmark - Aarhus
Aarhus GIS,Aarhus GIS,Denmark,http://data.aarhusgis.opendata.arcgis.com,,Arcgis OpenData Portal,"56.1793808784, 10.191",,,Denmark - Aarhus GIS
Aberdeen City Open Data  Portal,United Kingdom,United Kingdom,http://opendata.aberdeencity.gov.uk,,,"57.1526, -2.11",TRUE,,United Kingdom - Aberdeen City Open Data  Portal
Aberdeenshire,Aberdeenshire,United Kingdom,http://92.52.88.74/OpenData/Default.aspx,,,"57.223691, -3.3434432",TRUE,,United Kingdom - Aberdeenshire
Abre Puerto Rico,Puerto Rico,United States,http://abrepr.org/,,,"18.45, -66.1",,,United States - Abre Puerto Rico
ABS Statistics,Australian Bureau of Statistics,Australia,http://www.abs.gov.au/ausstats,,Access the full range of ABS statistical and reference information.,"-23.033333, 133.416667",,,Australia - ABS Statistics
Ada County Highway District,Ada County Highway District,United States,http://maps.achd.opendata.arcgis.com,,Arcgis OpenData Portal,"43.5464463626, -116.25199873",,,United States - Ada County Highway District
"Adams County, Co - Gis",United States,United States,http://co.adams.co.us/index.aspx?nid=1183,,,"39.87, -104.35",,,"United States - Adams County, Co - Gis"
Adelaide City Council Data,Adelaide City Council,Australia,http://data.sa.gov.au/data/organization/adelaide-city-council,,Adelaide City Council,"-34.926127, 138.600111",,,Australia - Adelaide City Council Data
Administration De L'aéroport De Luxembourg,Luxembourg,Luxembourg,http://aeroport.lu/,,,"49.6, 6.1167",,,Luxembourg - Administration De L'aéroport De Luxembourg
Administration Of Roads And Bridges - Grand Duchy Of Luxembourg,Luxembourg,Luxembourg,http://pch.public.lu,,,"49.6, 6.1167",,,Luxembourg - Administration Of Roads And Bridges - Grand Duchy Of Luxembourg
Administrative Map,Cameroon,Cameroon,http://minatd.cm/gov/site/en/le-ministere/a-propos/carte-administrative,,,"3.8667, 11.5167",,,Cameroon - Administrative Map
Adur,Adur,United Kingdom,http://www.adur-worthing.gov.uk/about-the-councils/open-data/,,,"50.8460039, -0.3284517",,,United Kingdom - Adur
Afganistan Open Data Project,Afghanistan,Afghanistan,http://afghanistandataproject.org,,,"34.5333, 69.1333",,,Afghanistan - Afganistan Open Data Project
African Development Bank Group Open Data,Cabo Verde,Cabo Verde,http://caboverde.opendataforafrica.org/,,,"15.1111, -23.6167",,,Cabo Verde - African Development Bank Group Open Data
African Development Bank Group Open Data,Guinea-bissau,Guinea-Bissau,http://guineab.opendataforafrica.org/,,,"12.0, -15.0",,,Guinea-Bissau - African Development Bank Group Open Data
African Development Bank Group Open Data,Zimbabwe,Zimbabwe,http://zimbabwe.opendataforafrica.org/,,,"-17.8333, 31.05",,,Zimbabwe - African Development Bank Group Open Data
African Development Bank Group Open Data,Mauritania,Mauritania,http://mauritania.opendataforafrica.org/,,,"18.15, -15.9667",,,Mauritania - African Development Bank Group Open Data
African Development Bank Group Open Data,Gabon,Gabon,http://gabon.opendataforafrica.org/,,,"0.3833, 9.45",,,Gabon - African Development Bank Group Open Data
African Development Bank Group Open Data,Togo,Togo,http://togo.opendataforafrica.org/,,,"6.1167, 1.2167",,,Togo - African Development Bank Group Open Data
African Development Bank Group Open Data,Mali,Mali,http://mali.opendataforafrica.org/,,,"12.65, -8.0",,,Mali - African Development Bank Group Open Data
African Development Bank Group Open Data,South Sudan,South Sudan,http://southsudan.opendataforafrica.org/,,,"4.85, 31.6",,,South Sudan - African Development Bank Group Open Data
African Development Bank Group Open Data,South Africa,South Africa,http://southafrica.opendataforafrica.org/,,,"-30.0, 25.0",,,South Africa - African Development Bank Group Open Data
African Development Bank Group Open Data,Somalia,Somalia,http://somalia.opendataforafrica.org/,,,"2.0333, 45.35",,,Somalia - African Development Bank Group Open Data
African Development Bank Group Open Data,Tunisia,Tunisia,http://tunisia.opendataforafrica.org/,,,"34.0, 9.0",,,Tunisia - African Development Bank Group Open Data
African Development Bank Group Open Data,Burundi,Burundi,http://burundi.opendataforafrica.org/,,,"-3.5, 30.0",,,Burundi - African Development Bank Group Open Data
African Development Bank Group Open Data,Algeria,Algeria,http://algeria.opendataforafrica.org/,,,"28.0, 2.0",,,Algeria - African Development Bank Group Open Data
African Development Bank Group Open Data,Chad,Chad,http://chad.opendataforafrica.org/,,,"12.1, 16.0333",,,Chad - African Development Bank Group Open Data
African Development Bank Group Open Data,Benin,Benin,http://benin.opendataforafrica.org/,,,"6.3176, 5.6145",TRUE,,Benin - African Development Bank Group Open Data
African Development Bank Group Open Data,Guinea,Guinea,http://guinea.opendataforafrica.org/,,,"9.5167, -13.7",,,Guinea - African Development Bank Group Open Data
African Development Bank Group Open Data,Angola,Angola,http://angola.opendataforafrica.org/,,,"-8.8333, 13.3333",,,Angola - African Development Bank Group Open Data
African Development Bank Group Open Data,Ghana,Ghana,http://ghana.opendataforafrica.org/,,,"5.55, -0.2",,,Ghana - African Development Bank Group Open Data
African Development Bank Group Open Data,Central African Republic,Central African Republic,http://car.opendataforafrica.org/,,,"4.3667, 18.5833",,,Central African Republic - African Development Bank Group Open Data
African Development Bank Group Open Data,Comoros,Comoros,http://comoros.opendataforafrica.org/,,,"-11.6833, 43.2667",,,Comoros - African Development Bank Group Open Data
African Development Bank Group Open Data,Sudan,Sudan,http://sudan.opendataforafrica.org/,,,"15.0, 32.0",,,Sudan - African Development Bank Group Open Data
African Development Bank Group Open Data,Eritrea,Eritrea,http://eritrea.opendataforafrica.org/,,,"15.3333, 38.9167",,,Eritrea - African Development Bank Group Open Data
African Development Bank Group Open Data,Malawi,Malawi,http://malawi.opendataforafrica.org/,,,"-13.95, 33.7",,,Malawi - African Development Bank Group Open Data
African Development Bank Group Open Data,Sao Tome And Principe,São Tomé and Príncipe,http://saotome.opendataforafrica.org/,,,"0.3361, 6.6814",,,São Tomé and Príncipe - African Development Bank Group Open Data
African Development Bank Group Open Data,Botswana,Botswana,http://botswana.opendataforafrica.org/,,,"-24.6583, 25.9083",,,Botswana - African Development Bank Group Open Data
African Development Bank Group Open Data,Equatorial Guinea,Equatorial Guinea,http://eguinea.opendataforafrica.org/,,,"3.45, 8.55",,,Equatorial Guinea - African Development Bank Group Open Data
African Development Bank Group Open Data,Sierra Leone,Sierra Leone,http://sierraleone.opendataforafrica.org/,,,"8.4844, -13.2344",,,Sierra Leone - African Development Bank Group Open Data
African Development Bank Group Open Data,Madagascar,Madagascar,http://madagascar.opendataforafrica.org/,,,"-20.0, 47.0",,,Madagascar - African Development Bank Group Open Data
African Development Bank Group Open Data,Djibouti,Djibouti,http://djibouti.opendataforafrica.org/,,,"11.5883, 43.145",,,Djibouti - African Development Bank Group Open Data
African Development Bank Group Open Data,Rwanda,Rwanda,http://rwanda.opendataforafrica.org/,,,"-1.9403, 29.8739",,,Rwanda - African Development Bank Group Open Data
African Development Bank Group Open Data,Cote D'ivoire,Ivory Coast,http://cotedivoire.opendataforafrica.org/,,,"6.85, -5.3",,,Ivory Coast - African Development Bank Group Open Data
African Development Bank Group Open Data,Uganda,Uganda,http://uganda.opendataforafrica.org/,,,"1.0667, 31.8833",,,Uganda - African Development Bank Group Open Data
African Development Bank Group Open Data,Lesotho,Lesotho,http://lesotho.opendataforafrica.org/,,,"-29.4667, 27.9333",,,Lesotho - African Development Bank Group Open Data
African Development Bank Group Open Data,"Congo, Republic Of","Congo, Republic Of",http://rcongo.opendataforafrica.org/,,,"-1.44, 15.556",,,"Congo, Republic Of - African Development Bank Group Open Data"
African Development Bank Group Open Data,Burkina Faso,Burkina Faso,http://burkinafaso.opendataforafrica.org/,,,"12.3333, -1.6667",,,Burkina Faso - African Development Bank Group Open Data
African Development Bank Group Open Data,Ethiopia,Ethiopia,http://ethiopia.opendataforafrica.org/,,,"9.0373003, 31.4545637",FALSE,,Ethiopia - African Development Bank Group Open Data
African Development Bank Group Open Data,Namibia,Namibia,http://namibia.opendataforafrica.org/,,,"-22.57, 17.0861",,,Namibia - African Development Bank Group Open Data
African Development Bank Group Open Data,Gambia,Gambia,http://gambia.opendataforafrica.org/,,,"13.4667, -16.6",,,Gambia - African Development Bank Group Open Data
African Development Bank Group Open Data,Liberia,Liberia,http://liberia.opendataforafrica.org/,,,"6.3167, -10.8",,,Liberia - African Development Bank Group Open Data
African Development Bank Group Open Data,Seychelles,Seychelles,http://seychelles.opendataforafrica.org/,,,"-4.6167, 55.45",,,Seychelles - African Development Bank Group Open Data
African Development Bank Group Open Data,"Tanzania, United Republic Of","Tanzania, United Republic Of",http://tanzania.opendataforafrica.org/,,,"-6.307, 34.854",,,"Tanzania, United Republic Of - African Development Bank Group Open Data"
African Development Bank Group Open Data,Senegal,Senegal,http://senegal.opendataforafrica.org/,,,"14.6667, -17.4167",,,Senegal - African Development Bank Group Open Data
African Development Bank Group Open Data,Libya,Libya,http://libya.opendataforafrica.org/,,,"27.0, 17.0",,,Libya - African Development Bank Group Open Data
African Development Bank Group Open Data,Mozambique,Mozambique,http://mozambique.opendataforafrica.org/,,,"-25.95, 32.5833",,,Mozambique - African Development Bank Group Open Data
African Development Bank Group Open Data,Mauritius,Mauritius,http://mauritius.opendataforafrica.org/,,,"-20.2, 57.5",,,Mauritius - African Development Bank Group Open Data
African Development Bank Group Open Data,Niger,Niger,http://niger.opendataforafrica.org/,,,"13.5333, 2.0833",,,Niger - African Development Bank Group Open Data
African Development Bank Group Open Data,Zambia,Zambia,http://zambia.opendataforafrica.org/,,,"-15.4167, 28.2833",,,Zambia - African Development Bank Group Open Data
African Development Bank Group Open Data,Swaziland,Swaziland,http://swaziland.opendataforafrica.org/,,,"-26.3167, 31.1333",,,Swaziland - African Development Bank Group Open Data
African Development Bank Group Open Data,Cameroon,Cameroon,http://cameroon.opendataforafrica.org/,,,"3.8667, 11.5167",,,Cameroon - African Development Bank Group Open Data
African Development Bank Group Statistical Data Portal,Africa,Ivory Coast,http://dataportal.afdb.org,,,"5.3488066, -4.049903",,,Ivory Coast - African Development Bank Group Statistical Data Portal
Afrique,Afrique,Kenya,http://africaopendata.org/,,,"-1.3047997, 36.7073071",,,Kenya - Afrique
AGE Lopendatasite,AGE Lopendatasite,Netherlands,http://agelopendatasite.agel.opendata.arcgis.com,,Arcgis OpenData Portal,"52.2052320655, 5.27355",,,Netherlands - AGE Lopendatasite
Agence Nationale De Météorologie Et De Télédétection Par Satellite,"Congo, Democratic Republic Of The","Congo, Democratic Republic Of The",http://www.meteo-congo-kinshasa.net/,,,"-2.88, 23.656",,,"Congo, Democratic Republic Of The - Agence Nationale De Météorologie Et De Télédétection Par Satellite"
Agence Nationale De Statistique Et De La Démographie,Senegal,Senegal,http://ansd.sn,,,"14.6667, -17.4167",TRUE,,Senegal - Agence Nationale De Statistique Et De La Démographie
Agencia Estatal De Meteorología,Spain,Spain,http://aemet.es,,,"40.4333, -3.7",,,Spain - Agencia Estatal De Meteorología
Agencija Za Statistiku,Bosnia And Herzegovina,Bosnia And Herzegovina,http://bhas.ba,,,"44.0, 18.0",,,Bosnia And Herzegovina - Agencija Za Statistiku
AGEOS,AGEOS,Gabon,http://gab.ageos.com,,Arcgis OpenData Portal,"-1.00138626071, 11.75",,,Gabon - AGEOS
Agic Geodata Portal (azgeo),United States,United States,https://arcgis2.geo.az.gov/portal/,,,"34.7467, -92.2889",TRUE,,United States - Agic Geodata Portal (azgeo)
AGRIS FAO,United Nations,United States,http://agris.fao.org/agris-search/index.do,,,"40.749, -73.968",,,United States - AGRIS FAO
Aid Data,International Organizations,United States,http://aiddata.org,,,"38.8951, -77.0367",,,United States - Aid Data
Alabama Geographic Information System,United States,United States,http://www.alabamagis.com/,,,"32.36167, -86.27917",,,United States - Alabama Geographic Information System
Alabama Open Data,United States,United States,http://open.alabama.gov/,,,"32.36167, -86.27917",,,United States - Alabama Open Data
Alachua County Property Appraiser GIS,Alachua County Property Appraiser GIS,United States,http://data.acpa.opendata.arcgis.com,,Arcgis OpenData Portal,"29.6887820209, -82.31835",FALSE,,United States - Alachua County Property Appraiser GIS
Alagoas,Alagoas,Brazil,http://dados.al.gov.br/,,,"-9.6566401, -37.2516149",TRUE,,Brazil - Alagoas
Alameda County Data Sharing Initative,United States,United States,http://data.acgov.org/,,,"37.75611, -122.27444",,,United States - Alameda County Data Sharing Initative
"Alameda County, Ca Open Data",United States,United States,http://www.infoalamedacounty.org/index.php/data/data-portal.htm,,,"37.75611, -122.27444",,,"United States - Alameda County, Ca Open Data"
Alamo Area MPO,Alamo Area MPO,United States,http://aampo.mpo.opendata.arcgis.com,,Arcgis OpenData Portal,"29.2408972618, -98.91290625",,,United States - Alamo Area MPO
Alaska Aoos,United States,United States,http://www.aoos.org/aoos-data-resources/,,,"58.3, -134.41667",,,United States - Alaska Aoos
Alaska Department Of Labor And Workforce Development - Research And Analysis,United States,United States,http://laborstats.alaska.gov,,,"32.36167, -86.27917",,,United States - Alaska Department Of Labor And Workforce Development - Research And Analysis
Alaska Departmentof Natural Resources,Alaska Departmentof Natural Resources,United States,http://adnr.soa-dnr.opendata.arcgis.com,,Arcgis OpenData Portal,"64.5449816729, -149.6956875",TRUE,,United States - Alaska Departmentof Natural Resources
Alaska Division Of Geological & Geophysical Surveys,United States,United States,http://dggs.alaska.gov,,,"58.3, -134.41667",,,United States - Alaska Division Of Geological & Geophysical Surveys
Alaska Divisonof Oiland Gas Open Data,Alaska Divisonof Oiland Gas Open Data,United States,http://dog.soa-dnr.opendata.arcgis.com,,Arcgis OpenData Portal,"64.5449816729, -149.6956875",TRUE,,United States - Alaska Divisonof Oiland Gas Open Data
Alaska Satellite Facility - Vertex,United States,United States,http://vertex.daac.asf.alaska.edu,,,"58.3, -134.41667",,,United States - Alaska Satellite Facility - Vertex
Alaska State Geospatial Data,United States,United States,http://www.asgdc.state.ak.us/,,,"58.3, -134.41667",,,United States - Alaska State Geospatial Data
Alberta Geological Survey,Canada,Canada,http://ags.gov.ab.ca,,,"55.0, -115.0",,,Canada - Alberta Geological Survey
Alberta Open Data,Canada,Canada,http://data.alberta.ca/,,,"55.0, -115.0",,,Canada - Alberta Open Data
"Alburquerque, Nm Open Data",United States,United States,http://www.cabq.gov/abq-data/,,,"35.1107, -106.61",,,"United States - Alburquerque, Nm Open Data"
Algemeen Bureau Voor De Statistiek,Suriname,Suriname,http://statistics-suriname.org,,,"5.8333, -55.1667",,,Suriname - Algemeen Bureau Voor De Statistiek
Alkmaar Open Data,Alkmaar,Netherlands,http://www.alkmaar.nl/opendata,,,"52.633333, 4.75",,,Netherlands - Alkmaar Open Data
Allerdale Open Data,Allerdale Borough Council,United Kingdom,http://www.allerdale.gov.uk/default.aspx?page=2288,,Official borough data.,"54.7087988626, -3.28016784955",,,United Kingdom - Allerdale Open Data
Alpes-de-Haute-Provence Open Data,Agence de Développement Touristique Alpes-de-Haute-Provence,France,http://tourisme04.opendatasoft.com/,,,"44.1637708, 5.6711165",,,France - Alpes-de-Haute-Provence Open Data
Alpine Shire Council Data,Alpine Shire Council,Australia,http://data.gov.au/organization/alpine-shire-council,,Alpine Shire Council open data,"-36.730208, 146.969102",,,Australia - Alpine Shire Council Data
"Amador County, Ca Gis Division",United States,United States,http://co.amador.ca.us/departments/information-technology/gis,,,"38.44, -120.66",,,"United States - Amador County, Ca Gis Division"
Amazon Public Datasets,United States,United States,http://aws.amazon.com/datasets,,,"47.6097, -122.3331",,,United States - Amazon Public Datasets
Ambar,UTPL,Ecuador,http://ambar.utpl.edu.ec,,Smart Land,"-4.0075944, -79.2433985",,,Ecuador - Ambar
Amber Valley,Amber Valley,United Kingdom,http://www.ambervalley.gov.uk/council-and-democracy/transparency.aspx,,,"53.0503203, -1.4106381",,,United Kingdom - Amber Valley
Amsterdam Economic Board Open Data Exchange (ode),Netherlands,Netherlands,http://amsterdamopendata.nl,,,"52.3667, 4.9",,,Netherlands - Amsterdam Economic Board Open Data Exchange (ode)
Amsterdam OIS,Gemeente Amsterdam,Netherlands,http://www.ois.amsterdam.nl/,,"The Department for Research and Statistics of the City of Amsterdam, Netherlands.","52.3740272046, 4.88968849182",TRUE,,Netherlands - Amsterdam OIS
AMT,AMT,Canada,http://amt.qc.ca/developpeurs/,,,"45.5600396, -73.8524777",,,Canada - AMT
Analyze Survey Data For Free,United States,United States,http://asdfree.com,,,"37.2753636, -104.6600208",,,United States - Analyze Survey Data For Free
Angers Loire Metropol Data Catalog,France,France,http://data.angers.fr/,,,"47.4736, -0.5542",,,France - Angers Loire Metropol Data Catalog
Anguilla Statistics Department,Anguilla,Anguilla,http://gov.ai/statistics,,,"18.2272, -63.049",,,Anguilla - Anguilla Statistics Department
"Ann Arbor, Michigan Open Data",City Of Ann Arbor,United States,http://www.a2gov.org/services/data/Pages/default.aspx,,City of Ann Arbor's Open Data Catalog (USA),"42.2775627974, -83.7408828735",,,"United States - Ann Arbor, Michigan Open Data"
API-AGRO,API-AGRO,France,https://plateforme.api-agro.fr,,"Agriculture, agronomy, soils, pesticides, fertilizers, crops, breeding, etc..","48.8350699, 2.3471451",,,France - API-AGRO
APS,Autoridad de Fiscalización y Control de Pensiones y Seguros,Bolivia,http://www.aps.gob.bo/estadisticas/Paginas/Estad%C3%ADsticas.aspx,,,"-16.5023775, -68.1336451",,,Bolivia - APS
Aragon Open Data,Spain,Spain,http://opendata.aragon.es,,,"41.0, -1.0",,,Spain - Aragon Open Data
Arc GI Sfor Parksand Gardens,Arc GI Sfor Parksand Gardens,United States,http://data.parksandgardens.opendata.arcgis.com,,Arcgis OpenData Portal,"38.5325251984, -121.752157994",,,United States - Arc GI Sfor Parksand Gardens
Arc GIS Gebruikersgroep Nederland,Arc GIS Gebruikersgroep Nederland,Netherlands,http://data.aggn.opendata.arcgis.com,,Arcgis OpenData Portal,"52.1747534173, 5.29302636763",,,Netherlands - Arc GIS Gebruikersgroep Nederland
Arc GIS Online,Arc GIS Online,Kuwait,http://kmod.beirutgardens.opendata.arcgis.com,,Arcgis OpenData Portal,"29.3060313781, 47.5048784178",,,Kuwait - Arc GIS Online
Arc GIS Open Data,Arc GIS Open Data,United States,http://opendata.arcgis.com,,Arcgis OpenData Portal,"38.8951379895, -77.036",,,United States - Arc GIS Open Data
Arc GIS Taiwan Open Data,Arc GIS Taiwan Open Data,"Taiwan, China",http://government.ernest.opendata.arcgis.com,,Arcgis OpenData Portal,"23.5547103218, 121.0215",TRUE,,"Taiwan, China - Arc GIS Taiwan Open Data"
ArcČR®500,ArcČR®500,Czech Republic,http://arccr.arcdata.opendata.arcgis.com,,Arcgis OpenData Portal,"49.8475046973, 15.5495",,,Czech Republic - ArcČR®500
ARCDATAPRAHASUPPORT,ARCDATAPRAHASUPPORT,Czech Republic,http://test1.arcdatapraha3.opendata.arcgis.com,,Arcgis OpenData Portal,"49.7992025849, 15.5676269531",,,Czech Republic - ARCDATAPRAHASUPPORT
ARCDATAŠkolení Open Data,ARCDATAŠkolení Open Data,Czech Republic,http://od.arcdatapraha2.opendata.arcgis.com,,Arcgis OpenData Portal,"49.8215348837, 15.4757265572",,,Czech Republic - ARCDATAŠkolení Open Data
Arcville Open Data,Arcville Open Data,United States,http://data.arcville.opendata.arcgis.com,,Arcgis OpenData Portal,"42.9765601988, -89.1030703125",,,United States - Arcville Open Data
Arendalenkommune,Arendalenkommune,Sweden,http://data.testkommune.opendata.arcgis.com,,Arcgis OpenData Portal,"65.7282592827, 15.64453125",,,Sweden - Arendalenkommune
Argentine Government Open Data,Argentina,Argentina,http://datospublicos.gob.ar,,,"-34.6, -58.3833",,,Argentina - Argentine Government Open Data
"Ariel Photos Of Banff, Ab",Canada,Canada,http://banff.ca/index.aspx?nid=885,,,"51.1781, -115.5719",,,"Canada - Ariel Photos Of Banff, Ab"
Arizona Departmentof Water Resources,Arizona Departmentof Water Resources,United States,http://gisdata.azwater.opendata.arcgis.com,,Arcgis OpenData Portal,"36.2515389727, -112.763974121",FALSE,,United States - Arizona Departmentof Water Resources
Arizona Open Data,United States,United States,http://openbooks.az.gov,,,"34.54167, -112.46944",,,United States - Arizona Open Data
Arkansas Geological Survey,United States,United States,http://geology.ar.gov,,,"34.7467, -92.2889",,,United States - Arkansas Geological Survey
Arkansas Geostar,United States,United States,http://geostor.arkansas.gov,,,"34.7467, -92.2889",,,United States - Arkansas Geostar
Arkansas Transparency,United States,United States,http://transparency.arkansas.gov,,,"34.7467, -92.2889",,,United States - Arkansas Transparency
"Arlington County, Va - Crime Reports",United States,United States,http://police.arlingtonva.us/incident-tracking/,,,"38.8803, -77.1083",,,"United States - Arlington County, Va - Crime Reports"
"Arlington County,Virginia.GIS Data","Arlington County,Virginia.GIS Data",United States,http://gisdata.arlgis.opendata.arcgis.com,,Arcgis OpenData Portal,"38.8826272133, -77.100626709",FALSE,,"United States - Arlington County,Virginia.GIS Data"
Armenian State Hydrometeorological And Monitoring Service,Armenia,Armenia,http://meteo.am/,,,"40.1833, 44.5167",,,Armenia - Armenian State Hydrometeorological And Monitoring Service
"Arvada, Colorado",City Of Arvada,United States,http://arvada.org/opendata,,Arvada's OpenData Catalog (US),"39.8027644, -105.0874842",,,"United States - Arvada, Colorado"
"Asheville, Nc Open Data",United States,United States,http://opendatacatalog.ashevillenc.gov/,,,"35.58, -82.5558",,,"United States - Asheville, Nc Open Data"
Ashfield,Ashfield,United Kingdom,"http://www.ashfield-dc.gov.uk/residents/democracy,-elections-and-legal/data-information-data-protection,-freedom-of-information-etc/inspire-and-open-data.aspx",,,"-33.8894599, 151.1102282",TRUE,,United Kingdom - Ashfield
Ashford,Ashford,United Kingdom,http://www.ashford.gov.uk/transparency,,,"51.1535314, 0.8362617",,,United Kingdom - Ashford
Ashtabula County,Ashtabula County,United States,http://ashtabulacounty.ashtabulacounty.opendata.arcgis.com,,Arcgis OpenData Portal,"41.7136533082, -80.7870318368",,,United States - Ashtabula County
Associaçãode Beneficiáriosdo Roxo,Associaçãode Beneficiáriosdo Roxo,Portugal,http://qarsc.abroxo.opendata.arcgis.com,,Arcgis OpenData Portal,"38.9173862208, -8.34901545055",,,Portugal - Associaçãode Beneficiáriosdo Roxo
Associationof Washington Cities,Associationof Washington Cities,United States,http://data.awcnet.org,,Arcgis OpenData Portal,"38.1454963093, -95.2214201166",FALSE,,United States - Associationof Washington Cities
Associationof Washington Cities,Associationof Washington Cities,United States,http://featureddatastories.awcnet.opendata.arcgis.com,,Arcgis OpenData Portal,"38.1454963093, -95.2214201166",FALSE,,United States - Associationof Washington Cities
Associationof Washington Cities,Associationof Washington Cities,United States,http://yourcitysnapshot.awcnet.opendata.arcgis.com,,Arcgis OpenData Portal,"38.1454963093, -95.2214201166",FALSE,,United States - Associationof Washington Cities
Atlanta Regional Commission - Gis Maps And Data,United States,United States,http://atlantaregional.com/info-center/gis-data-maps,,,"33.755, -84.39",,,United States - Atlanta Regional Commission - Gis Maps And Data
"Atlanta, Ga Open Data",United States,United States,http://govathon.com,,,"33.755, -84.39",,,"United States - Atlanta, Ga Open Data"
Atlas Nacionalde Riesgos,Atlas Nacionalde Riesgos,Mexico,http://data.cenapred.opendata.arcgis.com,,Arcgis OpenData Portal,"23.604584521, -102.163679549",,,Mexico - Atlas Nacionalde Riesgos
"Atllanta, Ga - Gis",United States,United States,http://gis.atlantaga.gov/,,,"33.755, -84.39",,,"United States - Atllanta, Ga - Gis"
Atviroji Data,Atviroji Data,Lithuania,http://atvirojidata.rugpjutis.com,,Arcgis OpenData Portal,"55.1918311887, 23.8951775744",,,Lithuania - Atviroji Data
"Austin, Tx Open Data",United States,United States,http://data.austintexas.gov/,,,"30.25, -97.75",,,"United States - Austin, Tx Open Data"
Australian Antarctic Data Centre,Australian Antarctic Data Centre,Australia,https://data.aad.gov.au,,"The Australian Antarctic Data Centre is committed to the free and open exchange of scientific data, consistent with the Antarctic Treaty's position that to the greatest extent feasible and practicable scientific observations and results from Antarctica shall be exchanged and made freely available.","-23.033333, 133.416667",,,Australia - Australian Antarctic Data Centre
Australian Data Archive,Australian Data Archive,Australia,https://www.ada.edu.au,,The Australian Data Archive (ADA) provides a national service for the collection and preservation of digital research data and to make these data available for secondary analysis by academic researchers and other users.,"-35.286008, 149.116913",,,Australia - Australian Data Archive
Australian Institute of Health and Welfare data,Australian Institute of Health and Welfare,Australia,http://www.aihw.gov.au/data/,,Authoritative information and statistics to promote better health and wellbeing,"-23.033333, 133.416667",,,Australia - Australian Institute of Health and Welfare data
Australian Nation Data Service,Australian Nation Data Service,Australia,http://ands.org.au,,"Find, access, and reuse data from Australian research organisations, agencies and institutions","-35.285248, 149.117894",,,Australia - Australian Nation Data Service
Austrian Geological Society,Austria,Austria,http://geol-ges.at,,,"48.2, 16.3667",,,Austria - Austrian Geological Society
Austrian Government Open Data,Austria,Austria,http://data.gv.at,,,"48.2, 16.35",,,Austria - Austrian Government Open Data
Austrian Ogd Basemap,Austria,Austria,http://basemap.at,,,"48.2, 16.35",,,Austria - Austrian Ogd Basemap
Autonomous Province Of Bolzano Open Data,Provincia autonoma di Bolzano,Italy,http://www.provincia.bz.it/informatica/tecnico/733.asp,,,"46.5, 11.35",,,Italy - Autonomous Province Of Bolzano Open Data
Avaandmete Portaal,Government of Estonia,Estonia,https://opendata.riik.ee/,,,,,,Estonia - Avaandmete Portaal
Avoin Data,Avoin Data,Finland,http://avoindata.esrifinland.opendata.arcgis.com,,Arcgis OpenData Portal,"64.1445241713, 26.1035",,,Finland - Avoin Data
Avoin Data-Kopioi,Avoin Data-Kopioi,Finland,http://avoindata-1.esrifinland.opendata.arcgis.com,,Arcgis OpenData Portal,"64.1445241713, 26.1035",,,Finland - Avoin Data-Kopioi
Avri,Avri,Netherlands,http://data.avri.opendata.arcgis.com,,Arcgis OpenData Portal,"51.8474526675, 5.32941857954",,,Netherlands - Avri
Ayesa Advanced Technologies,Ayesa Advanced Technologies,Spain,http://data.ayat.opendata.arcgis.com,,Arcgis OpenData Portal,"28.6557850882, -17.8405",TRUE,,Spain - Ayesa Advanced Technologies
Aylesbury Vale,Aylesbury Vale,United Kingdom,http://www.aylesburyvaledc.gov.uk/open-data,,,"51.9000515, -1.1193534",,,United Kingdom - Aylesbury Vale
Babergh,Babergh,United Kingdom,http://www.babergh.gov.uk/council-business/council-and-democracy/access-to-information/,,,"52.063217, 0.8177062",TRUE,,United Kingdom - Babergh
Badalona Open Data,City of Bardalona,Spain,http://opendata.badalona.cat/badalona/ca,,Badalona Open Data Catalog,"41.4500446632, 2.24741220474",,,Spain - Badalona Open Data
Badan Pusat Statistik,Indonesia,Indonesia,http://bps.go.id,,,"-6.175, 106.8283",,,Indonesia - Badan Pusat Statistik
Baden-Württemberg Data Portal,Landesregierung Baden-Württemberg,Germany,https://opendata.service-bw.de/home,,"Launched March 2012, a Sharepoint based data portal, for the German federal state Baden-Wuerttemberg.

The catalogue holds datasets under different OKD Compliant and OKD Non-Compliant Licenses.","48.7758, 9.1829",TRUE,,Germany - Baden-Württemberg Data Portal
Bahaia Blanca Open Data,Bahaia Blanca,Argentina,http://bahiablanca.opendata.junar.com/home/,,,"-38.7167, -62.2667",,,Argentina - Bahaia Blanca Open Data
Bahrain Meteorological Service,Bahrain,Bahrain,http://bahrainweather.com/,,,"26.0275, 50.55",,,Bahrain - Bahrain Meteorological Service
